Wells,Sample,Category,Binding.Perc,Ave_Conc_pg.ml,Weight_mg,Buffer_ml,Spike,SpikeVol_uL,Dilution,Vol_in_well.tube_uL,Failed_samples,Ave_Conc_ug.dL,Final_conc_pg.mg,SpikeVol_ml,Vol_in_well.tube_ml,Spike.cont_pg.mL,
C3,TA1,A,14,4617,50,0.25,0,0,1,NA,UNDER 20% binding,0.4617,30.78,0,NA,NA,30.78
D3,TA1,A,NA,NA,50,0.25,0,0,1,NA,NA,NA,NA,0,NA,NA,
E3,TA2,A,22.4,2921,50,0.25,0,0,2,NA,HIGH CV,0.2921,19.47333333,0,NA,NA,38.94666667
F3,TA2,A,NA,NA,50,0.25,0,0,2,NA,NA,NA,NA,0,NA,NA,
G3,TA3,A,44.3,1133,50,0.25,0,0,4,NA,NA,0.1133,7.553333333,0,NA,NA,30.21333333
H3,TA3,A,NA,NA,50,0.25,0,0,4,NA,NA,NA,NA,0,NA,NA,
A4,TA4,A,55.2,747.4,50,0.25,0,0,8,NA,NA,0.07474,4.982666667,0,NA,NA,39.86133333
B4,TA4,A,NA,NA,50,0.25,0,0,8,NA,NA,NA,NA,0,NA,NA,
C4,TA5,A,74.1,352.4,50,0.25,0,0,16,NA,NA,0.03524,2.349333333,0,NA,NA,37.58933333
D4,TA5,A,NA,NA,50,0.25,0,0,16,NA,NA,NA,NA,0,NA,NA,
E4,TA6,A,84.2,226,50,0.25,0,0,32,NA,HIGH CV;ABOVE 80% binding,0.0226,1.506666667,0,NA,NA,48.21333333
F4,TA6,A,NA,NA,50,0.25,0,0,32,NA,NA,NA,NA,0,NA,NA,
G4,TA7,A,103,62.13,50,0.25,0,0,64,NA,HIGH CV;ABOVE 80% binding,0.006213,0.4142,0,NA,NA,26.5088
H4,TA7,A,NA,NA,50,0.25,0,0,64,NA,NA,NA,NA,0,NA,NA,
A5,TB1,B,12.3,5134,50,0.25,1,25,1,275,UNDER 20% binding,0.5134,32.28151515,0.025,0.275,291.7727273,32.28151515
B5,TB1,B,NA,NA,50,0.25,1,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
C5,TB2,B,25.5,2503,50,0.25,1,25,2,250,NA,0.2503,15.61683333,0.025,0.25,160.475,31.23366667
D5,TB2,B,NA,NA,50,0.25,1,25,2,250,NA,NA,NA,0.025,0.25,160.475,
E5,TB3,B,45.3,1088,50,0.25,1,25,4,250,NA,0.1088,6.718416667,0.025,0.25,80.2375,26.87366667
F5,TB3,B,NA,NA,50,0.25,1,25,4,250,NA,NA,NA,0.025,0.25,80.2375,
G5,TB4,B,65.5,500.6,50,0.25,1,25,8,250,NA,0.05006,3.069875,0.025,0.25,40.11875,24.559
H5,TB4,B,NA,NA,50,0.25,1,25,8,250,NA,NA,NA,0.025,0.25,40.11875,
A6,TB5,B,76.9,311.5,50,0.25,1,25,16,250,NA,0.03115,1.9429375,0.025,0.25,20.059375,31.087
B6,TB5,B,NA,NA,50,0.25,1,25,16,250,NA,NA,NA,0.025,0.25,20.059375,
C6,TB6,B,88.2,178.9,50,0.25,1,25,32,250,ABOVE 80% binding,0.01789,1.125802083,0.025,0.25,10.0296875,36.02566667
D6,TB6,B,NA,NA,50,0.25,1,25,32,250,NA,NA,NA,0.025,0.25,10.0296875,
E6,TB7,B,87,194.4,50,0.25,1,25,64,250,HIGH CV;ABOVE 80% binding,0.01944,1.262567708,0.025,0.25,5.01484375,80.80433333
F6,TB7,B,NA,NA,50,0.25,1,25,64,250,NA,NA,NA,0.025,0.25,5.01484375,
G6,TC1,C,25.8,2467,50,0.25,1,25,1,275,NA,0.2467,14.50151515,0.025,0.275,291.7727273,14.50151515
H6,TC1,C,NA,NA,50,0.25,1,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
A7,TC2,C,30.1,2027,50,0.25,1,25,1,275,NA,0.2027,11.56818182,0.025,0.275,291.7727273,23.13636364
B7,TC2,C,NA,NA,50,0.25,1,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
C7,TC3,C,45.5,1089,50,0.25,1,25,1,275,NA,0.1089,5.314848485,0.025,0.275,291.7727273,21.25939394
D7,TC3,C,NA,NA,50,0.25,1,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
E7,TC4,C,60.2,618,50,0.25,1,25,1,275,NA,0.0618,2.174848485,0.025,0.275,291.7727273,17.39878788
F7,TC4,C,NA,NA,50,0.25,1,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
G7,TC5,C,92,144.5,50,0.25,0,25,1,275,HIGH CV;ABOVE 80% binding,0.01445,0.963333333,0.025,0.275,291.7727273,15.41333333
H7,TC5,C,NA,NA,50,0.25,0,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
A8,TC6,C,97.7,97.49,50,0.25,0,25,1,275,HIGH CV;ABOVE 80% binding,0.009749,0.649933333,0.025,0.275,291.7727273,20.79786667
B8,TC6,C,NA,NA,50,0.25,0,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
C8,TC7,C,96.4,107.5,50,0.25,0,25,1,275,HIGH CV;ABOVE 80% binding,0.01075,0.716666667,0.025,0.275,291.7727273,45.86666667
D8,TC7,C,NA,NA,50,0.25,0,25,1,275,NA,NA,NA,0.025,0.275,291.7727273,
E8,TD1,D,15.7,4168,20,0.11,1,110,1,220,UNDER 20% binding,0.4168,18.79716667,0.11,0.22,1604.75,18.79716667
F8,TD1,D,NA,NA,20,0.11,1,110,1,220,NA,NA,NA,0.11,0.22,1604.75,
G8,TD2,D,32.7,1814,20,0.11,1,110,2,220,NA,0.1814,7.418583333,0.11,0.22,802.375,14.83716667
H8,TD2,D,NA,NA,20,0.11,1,110,2,220,NA,NA,NA,0.11,0.22,802.375,
A9,TD3,D,46.7,1033,20,0.11,1,110,4,220,NA,0.1033,4.633291667,0.11,0.22,401.1875,18.53316667
B9,TD3,D,NA,NA,20,0.11,1,110,4,220,NA,NA,NA,0.11,0.22,401.1875,
C9,TD4,D,64.3,525.1,20,0.11,1,110,8,220,NA,0.05251,2.3797125,0.11,0.22,200.59375,19.0377
D9,TD4,D,NA,NA,20,0.11,1,110,8,220,NA,NA,NA,0.11,0.22,200.59375,
E9,TD5,D,80.2,268,20,0.11,1,110,16,220,ABOVE 80% binding,0.0268,1.229822917,0.11,0.22,100.296875,19.67716667
F9,TD5,D,NA,NA,20,0.11,1,110,16,220,NA,NA,NA,0.11,0.22,100.296875,
G9,TD6,D,99.7,81.99,20,0.11,1,110,32,220,ABOVE 80% binding,0.008199,0.233504792,0.11,0.22,50.1484375,7.472153333
H9,TD6,D,NA,NA,20,0.11,1,110,32,220,NA,NA,NA,0.11,0.22,50.1484375,
A10,TD7,D,99,86.73,20,0.11,1,110,64,220,ABOVE 80% binding,0.008673,0.452142396,0.11,0.22,25.07421875,28.93711333
B10,TD7,D,NA,NA,20,0.11,1,110,64,220,NA,NA,NA,0.11,0.22,25.07421875,
,,,,,,,,,,,,,,,,,
C10,TP1A,P,21.8,2986,6,0.06,1,25,1,50,NA,0.2986,18.41666667,0.025,0.05,1604.75,18.41666667
D10,TP1A,P,NA,NA,6,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
E10,TP1B,P,18.1,3820,6,0.06,1,25,1,50,HIGH CV;UNDER 20% binding,0.382,29.53666667,0.025,0.05,1604.75,29.53666667
F10,TP1B,P,NA,NA,6,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
G10,TP1C,P,27.8,2242,6,0.06,1,25,1,50,NA,0.2242,8.496666667,0.025,0.05,1604.75,8.496666667
H10,TP1C,P,NA,NA,6,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
A11,TP2A,P,17.3,3793,9,0.06,1,25,1,50,UNDER 20% binding,0.3793,19.45111111,0.025,0.05,1604.75,19.45111111
B11,TP2A,P,NA,NA,9,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
C11,TP2B,P,21.1,3101,9,0.06,1,25,1,50,NA,0.3101,13.3,0.025,0.05,1604.75,13.3
D11,TP2B,P,NA,NA,9,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
E11,TP2C,P,18.1,3634,9,0.06,1,25,1,50,UNDER 20% binding,0.3634,18.03777778,0.025,0.05,1604.75,18.03777778
F11,TP2C,P,NA,NA,9,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
G11,TP3A,P,23.2,2792,12,0.22,1,25,1,50,NA,0.2792,29.02166667,0.025,0.05,1604.75,29.02166667
H11,TP3A,P,NA,NA,12,0.22,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
A12,TP3B,P,15.5,4210,12,0.06,1,25,1,50,UNDER 20% binding,0.421,17.36833333,0.025,0.05,1604.75,17.36833333
B12,TP3B,P,NA,NA,12,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,
C12,TP3C,P,13.9,4661,12,0.06,1,25,1,50,UNDER 20% binding,0.4661,20.375,0.025,0.05,1604.75,20.375
D12,TP3C,P,NA,NA,12,0.06,1,25,1,50,NA,NA,NA,0.025,0.05,1604.75,